T,n_items,n_train_trials,n_test_trials,MAE_p,RMSE_p,Corr_p,CEFR_ExactAcc,CEFR_Within1Acc,Test_Brier,Test_LogLoss,MeanConf,MeanEntropy,MeanCI95Width,HighEntropyCount(>H_th),LowGapCount(<gap_th),ReviewCount,H_th,gap_th,gap_rho,gap_max
10,180,7,3,0.10705246913580245,0.13712395579329145,0.8449072651726097,0.43333333333333335,0.8611111111111112,0.2065157750342936,0.6041558085042762,0.4348554659406852,1.2554046228820235,0.5209126018934888,180,114,180,0.6,0.050155992760624435,0.67,0.07485969068749915
20,180,14,6,0.077875,0.09710578344780676,0.9255953700359622,0.5388888888888889,0.9722222222222222,0.20203269675925928,0.5909877835349252,0.5327032196962852,1.0304925829096891,0.39869354226733894,158,101,171,0.6,0.050155992760624435,0.67,0.07485969068749915
30,180,21,9,0.07271256038647342,0.08934285945124527,0.9376718218568901,0.5333333333333333,0.9777777777777777,0.18367056407384072,0.5472660063596692,0.5848438506610779,0.9046631029141394,0.33708616701520105,152,97,173,0.6,0.050155992760624435,0.67,0.07485969068749915
40,180,28,12,0.06450925925925925,0.07948498382915471,0.9504671595653683,0.6,0.9833333333333333,0.1774814814814815,0.5340129073924949,0.6264615290282501,0.8168991191640599,0.2960006217196711,149,93,167,0.6,0.050155992760624435,0.67,0.07485969068749915
50,180,35,15,0.059494494494494496,0.07373175811556693,0.9585454214150549,0.5944444444444444,0.9888888888888889,0.18525958390823255,0.5527833886916294,0.6584246980562236,0.737326469236651,0.26508521056623685,144,88,170,0.6,0.050155992760624435,0.67,0.07485969068749915
60,180,42,18,0.05521632996632997,0.07042007728241122,0.9619254028652588,0.65,0.9888888888888889,0.1828337031935517,0.5452508034691111,0.6807041665257019,0.6851945036781361,0.24442835842553987,137,81,163,0.6,0.050155992760624435,0.67,0.07485969068749915
70,180,49,21,0.05127614379084967,0.06576767852002052,0.9668584308910417,0.6944444444444444,0.9833333333333333,0.18352068496243815,0.5475076809503852,0.7006891822276147,0.6435979424822561,0.22682879967559666,137,96,165,0.6,0.050155992760624435,0.67,0.07485969068749915
80,180,56,24,0.04563729246487868,0.05992035492732285,0.9726022048333026,0.7722222222222223,0.9833333333333333,0.1871443827894482,0.5561267117065386,0.7245189641562743,0.6044018774117978,0.2129945712604717,122,106,164,0.6,0.050155992760624435,0.67,0.07485969068749915
90,180,62,28,0.042444444444444444,0.05597532387325731,0.9763387890107879,0.7833333333333333,0.9833333333333333,0.18669084821428572,0.5537167806866757,0.7427839106097944,0.5721807904151343,0.20277573854172934,115,108,163,0.6,0.050155992760624435,0.67,0.07485969068749915
100,180,70,30,0.04012654320987654,0.05233894068410399,0.9792111381969488,0.7888888888888889,0.9944444444444445,0.187113554526749,0.5549310352793276,0.75494975231109,0.5440080215271463,0.19144207770691238,106,99,156,0.6,0.050155992760624435,0.67,0.07485969068749915
110,180,77,33,0.03807618377871542,0.04955786756791837,0.9812402342534017,0.7944444444444444,0.9944444444444445,0.1840483022825596,0.5468477600680124,0.7686808726646698,0.5201000597076207,0.18309995643294935,86,102,149,0.6,0.050155992760624435,0.67,0.07485969068749915
120,180,84,36,0.03814728682170542,0.04814365907892033,0.9822180652568844,0.8055555555555556,0.9944444444444445,0.1834497626344571,0.5456513476788808,0.7882511581728219,0.4915066587952241,0.17580943067639082,63,98,142,0.6,0.050155992760624435,0.67,0.07485969068749915
130,180,91,39,0.03773775388291518,0.047785836488663275,0.9825045118459483,0.8,0.9944444444444445,0.18349396649778196,0.5456558769723147,0.7926632835105928,0.47628344490743174,0.1691179332253262,57,85,128,0.6,0.050155992760624435,0.67,0.07485969068749915
140,180,98,42,0.037231481481481477,0.04709386149089344,0.9829297153278258,0.8,0.9944444444444445,0.1819924603174603,0.542043510362259,0.7980959115293522,0.46013236362629584,0.16331002533356706,58,106,142,0.6,0.050155992760624435,0.67,0.07485969068749915
150,180,105,45,0.035295084804430596,0.044919289058686855,0.9846215668745767,0.8055555555555556,1.0,0.18353976680264275,0.5454775066217878,0.8083102815399226,0.4402680447293564,0.1576039957039491,54,101,132,0.6,0.050155992760624435,0.67,0.07485969068749915
160,180,112,48,0.033489278752436645,0.04277837610954487,0.9860397671402894,0.8222222222222222,1.0,0.18481092472897645,0.5486517003364023,0.8204082466743099,0.4181350239053512,0.1528218711749354,47,98,133,0.6,0.050155992760624435,0.67,0.07485969068749915
170,180,118,52,0.03212037037037037,0.041298839400187366,0.9869778196351123,0.8388888888888889,1.0,0.18521643518518516,0.5495095769074753,0.8174773884516796,0.4102989259623111,0.14905986325666468,52,86,126,0.6,0.050155992760624435,0.67,0.07485969068749915
180,180,125,55,0.031572907553222514,0.04015231924240522,0.9876697324840465,0.8388888888888889,1.0,0.18731478715482683,0.5545828025484286,0.8252394456722438,0.39716833064122414,0.14498994231863466,48,89,122,0.6,0.050155992760624435,0.67,0.07485969068749915
190,180,133,57,0.030777777777777782,0.03860665145811553,0.9886317284951426,0.8388888888888889,1.0,0.18627314513994178,0.5520055858902536,0.8373182945735457,0.3783104261523168,0.1405384402190941,37,86,116,0.6,0.050155992760624435,0.67,0.07485969068749915
200,180,140,60,0.029934272300469484,0.03776316831797788,0.989144889580037,0.8388888888888889,1.0,0.185650756390193,0.5502013314008066,0.8440083561610296,0.36228940143988353,0.13704223598387047,34,99,126,0.6,0.050155992760624435,0.67,0.07485969068749915
