item_id,true_p_mid,cefr_true
1,0.8999999999999999,A1
2,0.7749999999999999,A2
5,0.325,C1
6,0.175,C2
8,0.8999999999999999,A1
10,0.7749999999999999,A2
11,0.625,B1
12,0.625,B1
13,0.47500000000000003,B2
14,0.47500000000000003,B2
15,0.325,C1
16,0.325,C1
17,0.175,C2
18,0.175,C2
194998,0.175,C2
194999,0.175,C2
195000,0.625,B1
195001,0.7749999999999999,A2
195002,0.8999999999999999,A1
195003,0.325,C1
195004,0.7749999999999999,A2
195005,0.7749999999999999,A2
195006,0.47500000000000003,B2
195007,0.8999999999999999,A1
195008,0.175,C2
195009,0.8999999999999999,A1
195010,0.7749999999999999,A2
195011,0.625,B1
195012,0.8999999999999999,A1
195013,0.7749999999999999,A2
195014,0.325,C1
195015,0.175,C2
195016,0.7749999999999999,A2
195017,0.8999999999999999,A1
195018,0.8999999999999999,A1
195019,0.625,B1
195020,0.47500000000000003,B2
195021,0.175,C2
195022,0.7749999999999999,A2
195023,0.8999999999999999,A1
195024,0.625,B1
195025,0.8999999999999999,A1
195026,0.7749999999999999,A2
195027,0.7749999999999999,A2
195028,0.175,C2
195029,0.625,B1
195030,0.8999999999999999,A1
195031,0.47500000000000003,B2
195032,0.8999999999999999,A1
195033,0.625,B1
195034,0.7749999999999999,A2
195035,0.325,C1
195036,0.175,C2
195037,0.8999999999999999,A1
195038,0.8999999999999999,A1
195039,0.325,C1
195040,0.7749999999999999,A2
195041,0.8999999999999999,A1
195042,0.8999999999999999,A1
195043,0.175,C2
195044,0.175,C2
195045,0.7749999999999999,A2
195046,0.325,C1
195047,0.7749999999999999,A2
195048,0.7749999999999999,A2
195049,0.8999999999999999,A1
195050,0.47500000000000003,B2
195051,0.7749999999999999,A2
195052,0.325,C1
195053,0.8999999999999999,A1
195054,0.325,C1
195055,0.8999999999999999,A1
195056,0.8999999999999999,A1
195057,0.8999999999999999,A1
195058,0.8999999999999999,A1
195059,0.175,C2
195060,0.325,C1
195061,0.625,B1
195062,0.7749999999999999,A2
195063,0.8999999999999999,A1
195064,0.47500000000000003,B2
195065,0.7749999999999999,A2
195066,0.8999999999999999,A1
195067,0.47500000000000003,B2
195068,0.175,C2
195069,0.625,B1
195070,0.7749999999999999,A2
195071,0.325,C1
195072,0.8999999999999999,A1
195073,0.7749999999999999,A2
195074,0.625,B1
195075,0.47500000000000003,B2
195076,0.325,C1
195077,0.175,C2
195084,0.8999999999999999,A1
195085,0.8999999999999999,A1
195086,0.8999999999999999,A1
195087,0.8999999999999999,A1
195088,0.8999999999999999,A1
195089,0.8999999999999999,A1
195090,0.8999999999999999,A1
195091,0.8999999999999999,A1
195092,0.8999999999999999,A1
195093,0.8999999999999999,A1
195094,0.8999999999999999,A1
195095,0.7749999999999999,A2
195096,0.7749999999999999,A2
195097,0.7749999999999999,A2
195098,0.7749999999999999,A2
195099,0.7749999999999999,A2
195100,0.7749999999999999,A2
195101,0.7749999999999999,A2
195102,0.7749999999999999,A2
195103,0.7749999999999999,A2
195104,0.7749999999999999,A2
195105,0.625,B1
195106,0.625,B1
195107,0.625,B1
195108,0.625,B1
195109,0.625,B1
195110,0.625,B1
195111,0.625,B1
195112,0.625,B1
195113,0.625,B1
195114,0.625,B1
195115,0.625,B1
195116,0.625,B1
195117,0.625,B1
195118,0.47500000000000003,B2
195119,0.47500000000000003,B2
195120,0.47500000000000003,B2
195121,0.47500000000000003,B2
195122,0.47500000000000003,B2
195123,0.47500000000000003,B2
195124,0.47500000000000003,B2
195125,0.47500000000000003,B2
195126,0.325,C1
195127,0.325,C1
195128,0.325,C1
195129,0.325,C1
195130,0.325,C1
195131,0.325,C1
195132,0.325,C1
195133,0.325,C1
195134,0.325,C1
195135,0.325,C1
195136,0.175,C2
195137,0.175,C2
195138,0.175,C2
195139,0.175,C2
195140,0.175,C2
195141,0.175,C2
195142,0.175,C2
195143,0.175,C2
195145,0.8999999999999999,A1
