bin_left,bin_right,count
0.05942845344543457,0.06463974714279175,1
0.06463974714279175,0.06985104084014893,1
0.06985104084014893,0.0750623345375061,2
0.0750623345375061,0.08027362823486328,1
0.08027362823486328,0.08548492193222046,1
0.08548492193222046,0.09069621562957764,4
0.09069621562957764,0.09590750932693481,4
0.09590750932693481,0.10111880302429199,8
0.10111880302429199,0.10633009672164917,7
0.10633009672164917,0.11154139041900635,4
0.11154139041900635,0.11675268411636353,7
0.11675268411636353,0.1219639778137207,6
0.1219639778137207,0.12717527151107788,7
0.12717527151107788,0.13238656520843506,10
0.13238656520843506,0.13759785890579224,9
0.13759785890579224,0.14280915260314941,10
0.14280915260314941,0.1480204463005066,8
0.1480204463005066,0.15323173999786377,29
0.15323173999786377,0.15844303369522095,15
0.15844303369522095,0.16365432739257812,46
